user_id,segment,country,device_pref,budget_mean,price_sensitivity,novelty_preference,repeat_tolerance,activity_level,conversion_propensity,save_propensity,preferred_styles,taste_vector
user_0000,loyal_collector,US,ios,794.3682631646358,0.5313840065378947,0.30365823071875375,0.7034270246429744,0.7862943407349051,0.3969375804273762,0.34200657339895735,minimalist,"[0.199525765990753, -0.05553957026010678, 0.26017086669372447, 0.6117878801809091, -0.09405737921451357, -0.09405078433706873, 0.6343560874324442, 0.3082718727740328]"
user_0001,casual_browser,NL,ios,160.95323836165895,0.9183425913212226,0.4110922589709866,0.3349006422577697,0.5063547027518508,0.09194890480649562,0.17666450001653786,contemporary|modern|portrait,"[-0.2211688842334721, -0.3983846646993699, 0.12360532344948386, -0.35716010261022596, -0.5555122914512763, 0.5764949177125047, -0.0888063310462792, 0.026561388806325574]"
user_0002,explorer,GB,ios,227.1041858436334,0.9295291853803686,1.0,0.267136828118997,0.9326527576417639,0.1959117043528569,0.3017182407706058,abstract|surrealism,"[-0.18172816892704347, 0.5594273288224839, -0.00407644836764134, -0.31945115188462786, 0.24842602307946768, -0.36872069634305243, 0.06308123910272594, -0.5918619740511224]"
user_0003,casual_browser,NL,android,288.2297680525542,1.1546499283743927,0.49312801191161987,0.36607824767773617,0.40361814362231785,0.16650107451228513,0.27804361016978874,abstract|minimalist|contemporary,"[-0.2992656710386782, -0.1915044523385598, 0.43948452833260393, 0.14285474108097906, -0.7329605336957273, 0.13473360685932093, -0.16009284468772633, -0.28142133297727057]"
user_0004,casual_browser,GB,ios,272.6022515654771,0.9032320368092314,0.4361395605508414,0.603803656646597,0.4446260941335073,0.2651714924651205,0.01,minimalist|portrait,"[-0.18895591966803246, -0.07321212183252639, -0.43626832572270496, -0.47170800288126824, 0.3204086361464418, 0.5348150247842409, -0.028396223490236957, 0.39572970886539294]"
user_0005,budget_buyer,US,android,130.56486681473822,1.328725959566022,0.16982429564154633,0.6115402117702075,0.5993126664489528,0.15761918369863692,0.2810613946490685,minimalist|contemporary,"[0.3086433982933392, 0.032688187235691855, -0.11228417515606097, 0.034458293713902056, -0.7463780933615022, -0.0824918741709175, 0.13410402944135513, 0.5549833926266599]"
user_0006,loyal_collector,GB,android,901.1505277445538,0.41481192999372796,0.20846292579495854,0.707935467723464,0.6985928225209845,0.4858178184622705,0.46709714306671923,portrait,"[0.04854241499415635, 0.48435881857587615, -0.35105287329354873, -0.16384336033247868, -0.19606878026652227, -0.7318123545504868, 0.14807124277435596, 0.1305374254261027]"
user_0007,trend_seeker,FR,web,727.1147376545947,0.7711458552828316,0.8501547342333612,0.3965288230294757,0.6746982943570702,0.3414258251612017,0.4101546426149419,minimalist|portrait|abstract,"[0.14744692909908774, 0.688310182129234, 0.06370723377207245, 0.09398572867715146, -0.027166930792400568, -0.7002012706272485, -0.009675488735065735, 0.021979311131306457]"
user_0008,loyal_collector,DE,web,922.4215571447193,0.3744786518825701,0.1949336568933867,0.7568562974806027,0.5906544429410843,0.5878873944508146,0.40644606126129573,contemporary|minimalist,"[0.22998527963054463, -0.2643960574099239, 0.4078495730428689, -0.40757533230085086, 0.17062331467818595, 0.636854872301122, -0.2879893467905619, -0.16464586820252478]"
user_0009,explorer,GB,ios,355.69387797524587,0.9389824191372635,1.0,0.1263049289121918,0.7519315080373585,0.2617553252493518,0.44375877385865486,landscape|modern,"[0.4991819854404303, -0.25225966486416057, -0.10372523286989371, 0.26200666198642797, -0.3964201912650147, 0.07325723036811668, 0.4209869225590815, -0.5177165369017007]"
